continent,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Africa,2021-01-09,0.0,0.0,,,0.0,0.0,,
Africa,2021-01-10,0.0,,,500.0,,,,0.0
Africa,2021-01-11,0.0,,,500.0,,,,0.0
Africa,2021-01-12,0.0,,,500.0,,,,0.0
Africa,2021-01-13,2000.0,2000.0,,500.0,0.0,0.0,,0.0
Africa,2021-01-14,2000.0,,,600.0,,,,0.0
Africa,2021-01-15,4000.0,4000.0,,667.0,0.0,0.0,,0.0
Africa,2021-01-16,7000.0,7000.0,,1000.0,0.0,0.0,,1.0
Africa,2021-01-17,7000.0,,,1118.0,,,,1.0
Africa,2021-01-18,7000.0,,,1236.0,,,,1.0
Africa,2021-01-19,10976.0,10976.0,,1354.0,0.0,0.0,,1.0
Africa,2021-01-20,13163.0,13163.0,,1595.0,0.0,0.0,,1.0
Africa,2021-01-21,13163.0,,,1718.0,,,,1.0
Africa,2021-01-22,16890.0,16890.0,,1841.0,0.0,0.0,,1.0
Africa,2021-01-23,18353.0,18353.0,,1622.0,0.0,0.0,,1.0
Africa,2021-01-24,18353.0,18353.0,,1433.0,0.0,0.0,,1.0
Africa,2021-01-25,19889.0,19889.0,,1463.0,0.0,0.0,,1.0
Africa,2021-01-26,22712.0,22712.0,,1677.0,0.0,0.0,,1.0
Africa,2021-01-27,25587.0,25587.0,,1775.0,0.0,0.0,,1.0
Africa,2021-01-28,28779.0,28779.0,,1965.0,0.0,0.0,,1.0
Africa,2021-01-29,30861.0,30861.0,,1996.0,0.0,0.0,,1.0
Africa,2021-01-30,122206.0,32176.0,,14836.0,0.01,0.0,,11.0
Africa,2021-01-31,158206.0,32176.0,,19979.0,0.01,0.0,,15.0
Africa,2021-02-01,236712.0,36601.0,,30975.0,0.02,0.0,,23.0
Africa,2021-02-02,295127.0,37806.0,,38916.0,0.02,0.0,,29.0
Africa,2021-02-03,347149.0,38716.0,5.0,45937.0,0.03,0.0,0.0,34.0
Africa,2021-02-04,390474.0,38716.0,5.0,51671.0,0.03,0.0,0.0,39.0
Africa,2021-02-05,446986.0,38716.0,5.0,59446.0,0.03,0.0,0.0,44.0
Africa,2021-02-06,504800.0,39218.0,1586.0,54656.0,0.04,0.0,0.0,41.0
Africa,2021-02-07,504800.0,,,55849.0,,,,42.0
Africa,2021-02-08,593502.0,39343.0,3980.0,50970.0,0.04,0.0,0.0,38.0
Africa,2021-02-09,661263.0,39352.0,6700.0,52305.0,0.05,0.0,0.0,39.0
Africa,2021-02-10,795836.0,39355.0,10335.0,64098.0,0.06,0.0,0.0,48.0
Africa,2021-02-11,908796.0,39581.0,13867.0,74046.0,0.07,0.0,0.0,55.0
Africa,2021-02-12,1165581.0,39581.0,13867.0,102656.0,0.09,0.0,0.0,77.0
Africa,2021-02-13,1446178.0,43428.0,14181.0,134483.0,0.11,0.0,0.0,100.0
Africa,2021-02-14,1446178.0,,,151062.0,,,,113.0
Africa,2021-02-15,1766999.0,43437.0,16441.0,167642.0,0.13,0.0,0.0,125.0
Africa,2021-02-16,1965819.0,43444.0,18176.0,186365.0,0.15,0.0,0.0,139.0
Africa,2021-02-17,2147659.0,47104.0,19512.0,193118.0,0.16,0.0,0.0,144.0
Africa,2021-02-18,2303964.0,50146.0,22925.0,199310.0,0.17,0.0,0.0,149.0
Africa,2021-02-19,2513999.0,2412533.0,32990.0,192631.0,0.19,0.18,0.0,144.0
Africa,2021-02-20,2616931.0,2506856.0,45489.0,167250.0,0.2,0.19,0.0,125.0
Africa,2021-02-21,2622421.0,2512346.0,50463.0,145119.0,0.2,0.19,0.0,108.0
Africa,2021-02-22,2745898.0,2625632.0,68325.0,139843.0,0.2,0.2,0.01,104.0
Africa,2021-02-23,2854362.0,2724750.0,86927.0,126935.0,0.21,0.2,0.01,95.0
